periodical_label,family,p_fam_given_auth,p_auth_given_fam,jaccard,n_auth,n_fam,n_both
Candil,CRIT,0.8326585695006747,0.4458092485549133,0.40915119363395225,741,1384,617
Candil,COMM,0.3049932523616734,0.45656565656565656,0.22376237623762377,741,495,226
Candil,PED,0.23481781376518218,0.41927710843373495,0.17718940936863545,741,415,174
Candil,HERIT,0.18488529014844804,0.39710144927536234,0.14436248682824027,741,345,137
Jaleo,CRIT,0.7311178247734139,0.30174563591022446,0.2716049382716049,331,802,242
Jaleo,COMM,0.3202416918429003,0.28342245989304815,0.17696160267111852,331,374,106
Jaleo,PED,0.38972809667673713,0.2509727626459144,0.18016759776536312,331,514,129
Jaleo,HERIT,0.054380664652567974,0.2465753424657534,0.046632124352331605,331,73,18
