packet_id,packet_md_path,packet_json_path,row_index,article_id,title,periodical,issue_id,language,article_type,review_text_chars,review_strategy,n_trigger_windows,retrieval_hint_codes,packet_article_position
chat_packet_006,chat_annotation_packets_jaleo/packets/chat_packet_006.md,chat_annotation_packets_jaleo/packets/chat_packet_006.json,25,JALEO_1977_12::A4,LETTERS,jaleo,JALEO_1977_12,en,other,4550,full,0,,1
chat_packet_006,chat_annotation_packets_jaleo/packets/chat_packet_006.md,chat_annotation_packets_jaleo/packets/chat_packet_006.json,26,JALEO_1977_12::A5,SABICAS,jaleo,JALEO_1977_12,en,other,3635,head_tail_windows,1,PED_01,2
chat_packet_006,chat_annotation_packets_jaleo/packets/chat_packet_006.md,chat_annotation_packets_jaleo/packets/chat_packet_006.json,27,JALEO_1977_12::A6,THE SEARCH FOR FLAMENCO in mexico city ,jaleo,JALEO_1977_12,en,other,4250,full,0,,3
chat_packet_006,chat_annotation_packets_jaleo/packets/chat_packet_006.md,chat_annotation_packets_jaleo/packets/chat_packet_006.json,28,JALEO_1977_12::A7,PACO DE LUCIA,jaleo,JALEO_1977_12,en,other,5488,full,0,,4
chat_packet_006,chat_annotation_packets_jaleo/packets/chat_packet_006.md,chat_annotation_packets_jaleo/packets/chat_packet_006.json,29,JALEO_1977_12::A8,GYPSY IN DARKNESS,jaleo,JALEO_1977_12,en,other,2318,full,0,,5
chat_packet_007,chat_annotation_packets_jaleo/packets/chat_packet_007.md,chat_annotation_packets_jaleo/packets/chat_packet_007.json,30,JALEO_1978_01::A1,DUENDE AND THE JUERGA,jaleo,JALEO_1978_01,en,other,4736,full,0,,1
chat_packet_007,chat_annotation_packets_jaleo/packets/chat_packet_007.md,chat_annotation_packets_jaleo/packets/chat_packet_007.json,31,JALEO_1978_01::A2,LETTERS,jaleo,JALEO_1978_01,en,other,530,full,0,,2
chat_packet_007,chat_annotation_packets_jaleo/packets/chat_packet_007.md,chat_annotation_packets_jaleo/packets/chat_packet_007.json,32,JALEO_1978_01::A3,RODRIGO de SAN DIEGO,jaleo,JALEO_1978_01,en,other,3820,full,0,,3
chat_packet_007,chat_annotation_packets_jaleo/packets/chat_packet_007.md,chat_annotation_packets_jaleo/packets/chat_packet_007.json,33,JALEO_1978_01::A4,Transcribed by Peter Baime Seguiriya,jaleo,JALEO_1978_01,en,other,1774,full,0,,4
chat_packet_007,chat_annotation_packets_jaleo/packets/chat_packet_007.md,chat_annotation_packets_jaleo/packets/chat_packet_007.json,34,JALEO_1978_01::A5,RECORDS DONATED,jaleo,JALEO_1978_01,en,other,689,full,0,,5
chat_packet_008,chat_annotation_packets_jaleo/packets/chat_packet_008.md,chat_annotation_packets_jaleo/packets/chat_packet_008.json,35,JALEO_1978_01::A6,LA LUZ,jaleo,JALEO_1978_01,en,other,4944,full,0,,1
chat_packet_008,chat_annotation_packets_jaleo/packets/chat_packet_008.md,chat_annotation_packets_jaleo/packets/chat_packet_008.json,36,JALEO_1978_01::A7,THE SAN FRANCISCO SCENE,jaleo,JALEO_1978_01,en,other,536,full,0,,2
chat_packet_008,chat_annotation_packets_jaleo/packets/chat_packet_008.md,chat_annotation_packets_jaleo/packets/chat_packet_008.json,37,JALEO_1978_01::A8,JUERGAS,jaleo,JALEO_1978_01,en,other,3461,full,0,,3
chat_packet_008,chat_annotation_packets_jaleo/packets/chat_packet_008.md,chat_annotation_packets_jaleo/packets/chat_packet_008.json,38,JALEO_1978_02::A1,FEBRUARY JUERGA,jaleo,JALEO_1978_02,en,other,2838,full,0,,4
chat_packet_008,chat_annotation_packets_jaleo/packets/chat_packet_008.md,chat_annotation_packets_jaleo/packets/chat_packet_008.json,39,JALEO_1978_02::A2,LETTERS,jaleo,JALEO_1978_02,en,other,1574,full,0,,5
